    7498 Cc1ccc(S(=O)(=O)NC[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2CCCCOCC(=O)O)cc1
    7508 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4ccc(O)cc4)(CO3)[C@H]2C/C=C/CCCC(=O)O)cc1
    7516 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2C/C=C/CCCC(=O)O)cc1
    7519 Cc1ccc(S(=O)(=O)NC[C@@H]2C3CC(c4ccc(-c5ccccc5)cc4)(CO3)[C@H]2CCCCCC(=O)O)cc1
    7522 O=C(O)CCC/C=C/C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1cccc(F)c1)CO2
    7525 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4cccc(F)c4)(CO3)[C@H]2C/C=C/CCCC(=O)O)cc1
    7528 O=C(O)CCC/C=C/C[C@H]1[C@H](/C=C/[C@@H](O)COc2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
    7543 O=C(O)CCC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)c(Cl)c2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7552 Cc1ccc(S(=O)(=O)NC[C@@H]2C3CC(c4ccc(-c5ccccc5)cc4)(CO3)[C@H]2C/C=C\CCC(=O)O)cc1
    7557 O=C(O)CCC/C=C/C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
    7560 O=C(O)CCC/C=C/C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7567 O=C(O)CCC/C=C/C[C@H]1C2COC(C2)[C@@H]1COCc1ccccc1
    7591 O=C(O)CCC/C=C/C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(O)cc1)CO2
    7578 O=C(O)CCC/C=C/C[C@@H]1[C@@H](COCc2ccccc2)C2CC1(Cc1ccc(-c3ccccc3)cc1)CO2
