  333609 CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)OC([C@H](C)C[C@@H]2CC[C@@H](OC(=O)N(C)OC)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1 |Serine/threonine-protein kinase mTOR
  333742 CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3ncnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1 |Serine/threonine-protein kinase mTOR
  333801 CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1 |Serine/threonine-protein kinase mTOR
  348435 CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(C)=O)C(=O)N[C@H]1Cc2ccc(cc2)NC(=O)CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC1= |Tyrosine-protein kinase SRC
  348464 CC[C@H](C)[C@H](NC(=O)[C@@H](CS)NC(C)=O)C(=O)N[C@H]1Cc2ccc(cc2)NC(=O)CCCCCCC(=O)NCCCC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC1= |Tyrosine-protein kinase SRC
  348630 CC[C@H](C)[C@@H]1NC(=O)[C@H](CS)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(O)cc2)NC1= |Tyrosine-protein kinase SRC
  348725 CC[C@H](C)[C@@H]1NC(=O)[C@H](CS)NC(=O)CCC(=O)Nc2ccc(cc2)C[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(O)cc2)NC1= |Tyrosine-protein kinase SRC
  348986 CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(C)=O)C(=O)N[C@H]1Cc2ccc(cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC1= |Tyrosine-protein kinase SRC
  358894 O=c1c2cccc3c2sn1CCNCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359099 O=c1c2cccc3c2sn1CCCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359144 O=c1c2cccc3c2sn1CCCCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359175 O=c1c2cccc3c2sn1CCCCCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359177 Oc1nc2cccc3c2nc1-c1cccc2c(O)n(nc12)CCN1CC[C@@H](C1)O |Cyclin-dependent kinase 4
  359178 C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O |Cyclin-dependent kinase 4
  370800 N#Cc1ncc2nc1OCCCCCOc1cc(OCc3ccccn3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370799 N#Cc1ncc2nc1OCCCCCOc1cc(OCc3cccnc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370817 CNc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
  370807 N#Cc1ncc2nc1OCCCCCOc1cc(OCCn3ccnc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370808 N#Cc1ncc2nc1OCCCCCOc1cc(N)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370818 CCNc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
  370828 N#Cc1ncc2nc1OCCCCCOc1cc(NCCO)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370827 CCCCNc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
