 2082946 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082947 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082948 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082949 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082950 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082951 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082952 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082953 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082954 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2099899 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2100030 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2101155 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2102259 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2103575 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2104231 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2105153 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2105495 76.67 |Serine/threonine-protein kinase PIM2| Serine/threonine-protein kinase PIM IC50
 2106198 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2106212 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2106963 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2108989 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2110825 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2113973 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2115057 51.29 |Tyrosine-protein kinase TYK2| Tyrosine-protein kinase JAK3 IC50
 2116287 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2120347 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2122961 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2125756 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2127070 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2127689 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2128732 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2129206 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2129576 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2129716 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2134748 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2138493 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2138770 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2140514 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2143946 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2148290 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2151854 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2152925 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2153212 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2153693 51.29 |Tyrosine-protein kinase TYK2| Tyrosine-protein kinase JAK3 IC50
 2157084 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2159267 76.67 |Serine/threonine-protein kinase PIM2| Serine/threonine-protein kinase PIM IC50
 2165038 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2165189 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2166032 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2170486 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2171034 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2171422 6.09 |Tyrosine-protein kinase JAK1| Tyrosine-protein kinase JAK3 IC50
 2176175 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2176963 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2177103 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2179786 4.15 |Tyrosine-protein kinase JAK1| Tyrosine-protein kinase JAK2 IC50
 2181464 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2182047 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2182427 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2184391 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2184797 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2189523 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2189968 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2190833 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2193806 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2196223 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2205713 622.22 |MAP kinase signal-integrating kinase 2| MAP kinase-interacting serine/threonine-protein kinase 1/2 IC50
 2213654 622.22 |MAP kinase signal-integrating kinase 2| MAP kinase-interacting serine/threonine-protein kinase 1/2 IC50
 2216350 622.22 |MAP kinase signal-integrating kinase 2| MAP kinase-interacting serine/threonine-protein kinase 1/2 IC50
 2220817 25.00 |Cell division cycle 2-like protein kinase 6| Rho-associated protein kinase 1 IC50
 2248627 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2250547 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2251996 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2252432 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2253047 1.84 |ALK tyrosine kinase receptor| ALK tyrosine kinase receptor IC50
 2253533 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2253778 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2254411 1511.90 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
 2280769 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2281092 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
