 1052655 83.33 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1166692 27.50 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1166884 46.67 |Ketohexokinase| Ketohexokinase IC50
 1265817 41.67 |Tyrosine-protein kinase SRC| Protein kinase N1 IC50
 1265818 41.67 |Tyrosine-protein kinase SRC| Protein kinase N1 IC50
 1289806 487.50 |Protein kinase C theta| Focal adhesion kinase 1 IC50
 1302286 3.98 |Neurotrophic tyrosine kinase receptor type 2| Serine/threonine-protein kinase receptor R3 IC50
 1333456 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333457 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333462 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333463 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333461 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333464 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333465 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333466 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333467 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333468 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333469 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333470 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333471 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333472 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333473 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333474 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1345161 45.94 |Serine/threonine-protein kinase PIM1| Serine/threonine-protein kinase PIM2 IC50
 1345162 3227705.88 |Serine/threonine-protein kinase PIM1| Serine/threonine-protein kinase PIM1 IC50
 1349264 15.00 |ALK tyrosine kinase receptor| ALK tyrosine kinase receptor IC50
 1353585 7.33 |PI3-kinase p110-alpha subunit| Dual specificity mitogen-activated protein kinase kinase 1 IC50
 1441666 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
