   21477 3500.00 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
   21589 3500.00 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
   21961 2833.33 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
   21963 816.67 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
   24580 50000000.00 |Tyrosine-protein kinase TYK2| Tyrosine-protein kinase JAK2 IC50
   28878 12500.00 |MAP kinase p38 alpha| Dual specificity mitogen-activated protein kinase kinase 6 IC50
   30118 2000.00 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase SRC IC50
   31068 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31081 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31120 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31140 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31152 450000.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 1 IC50
   31153 6000000.00 |Tyrosine-protein kinase SRC| Cyclin-dependent kinase 1 IC50
   31173 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31194 7.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5/CDK5 activator 1 IC50
   31266 7.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5/CDK5 activator 1 IC50
   31332 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31362 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31392 3.00 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31469 2.50 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 5 IC50
   31498 22.50 |Cyclin-dependent kinase 1/cyclin B| Cyclin-dependent kinase 1/cyclin B1 IC50
   31509 10000.00 |Glycogen synthase kinase-3 beta| Glycogen synthase kinase-3 beta IC50
   31651 250000.00 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase SRC IC50
   31813 320000.00 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase SRC IC50
   31841 2.30 |Glycogen synthase kinase-3| Protein kinase C alpha IC50
   32162 31.25 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase SRC IC50
   32530 982.46 |Protein kinase C alpha| cAMP-dependent protein kinase (PKA) IC50
   32649 250000.00 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase SRC IC50
   35352 1381250.00 |cAMP-dependent protein kinase alpha-catalytic subunit| Protein kinase C (PKC) IC50
   35461 80555.56 |Cyclin-dependent kinase 4/cyclin D1| Tyrosine-protein kinase ABL IC50
   35500 186.30 |Cyclin-dependent kinase 2/cyclin E| Cyclin-dependent kinase 2/cyclin E1 IC50
   35501 50.00 |Cyclin-dependent kinase 2/cyclin E| Cyclin-dependent kinase 4/cyclin D1 IC50
   35498 53.33 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 4/cyclin D1 IC50
   35513 73.85 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 4/cyclin D1 IC50
   35542 1388.89 |Cyclin-dependent kinase 2/cyclin E| Tyrosine-protein kinase ABL IC50
   37119 11111.11 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase SYK IC50
   37694 1500000.00 |Tyrosine-protein kinase SRC| Protein kinase C (PKC) IC50
   38122 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38221 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38739 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38645 2500.00 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38646 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38647 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38870 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   38871 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39315 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39314 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39351 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39357 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39392 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39483 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39772 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39771 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   39858 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   40194 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   40102 3.94 |Tyrosine-protein kinase LCK| Tyrosine-protein kinase LCK IC50
   42617 2500.00 |Receptor protein-tyrosine kinase erbB-4| Tyrosine-protein kinase SRC IC50
   43226 34.72 |Dual specificity mitogen-activated protein kinase kinase 1| Dual specificity mitogen-activated protein kinase kinase 1 IC50
   43525 34.72 |Dual specificity mitogen-activated protein kinase kinase 1| Dual specificity mitogen-activated protein kinase kinase 1 IC50
   43524 277.78 |Dual specificity mitogen-activated protein kinase kinase 1| Serine/threonine-protein kinase AKT IC50
   43977 2500.00 |Tyrosine-protein kinase SYK| Tyrosine-protein kinase SYK IC50
   44064 34.72 |Dual specificity mitogen-activated protein kinase kinase 1| Dual specificity mitogen-activated protein kinase kinase 1 IC50
   44060 2500.00 |Tyrosine-protein kinase SYK| Tyrosine-protein kinase SYK IC50
   44469 2500.00 |Tyrosine-protein kinase SYK| Tyrosine-protein kinase SYK IC50
   44820 238.00 |Tyrosine-protein kinase SYK| Tyrosine-protein kinase SYK IC50
   45269 2500.00 |Tyrosine-protein kinase SYK| Tyrosine-protein kinase SYK IC50
   50222 40.00 |Serine/threonine-protein kinase RAF and Dual specificity mitogen-activated protein kinase kinase 1 (Raf/MEK)| Dual specificity mitogen-activated protein kinase kinase MEK1/2 IC50
   50681 1200.00 |MAP kinase p38 alpha| Serine/threonine-protein kinase AKT IC50
   50822 125000.00 |Rho-associated protein kinase 2| Protein kinase Pfmrk IC50
   52028 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52029 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52141 72.00 |Mitogen-activated protein kinase kinase kinase 9| Mitogen-activated protein kinase kinase kinase 9 IC50
   52140 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52172 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52325 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52326 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52327 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52974 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52976 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52975 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
