1560567 CC(=O)Nc1ccc(CCCC[C@@H]2C[C@@H]3C[C@@]4(O[C@H](CCC4(C)C)CC(=O)O[C@@H](CO)CC(=O)O3)O2)cc1O | Protein kinase C delta
1560569 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4cc(O)c(Br)cc4Br)O[C@@]1(C3)O2 | Protein kinase C delta
1560570 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4c(Br)cc(Br)c(O)c4Br)O[C@@]1(C3)O2 | Protein kinase C delta
1560571 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4ccc(I)c(O)c4)O[C@@]1(C3)O2 | Protein kinase C delta
1560573 COc1cccc(CCCC[C@@H]2C[C@@H]3C[C@@]4(O[C@H](CCC4(C)C)CC(=O)O[C@@H](CO)CC(=O)O3)O2)c1 | Protein kinase C delta
1560572 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4cc(O)ccc4I)O[C@@]1(C3)O2 | Protein kinase C delta
1563925 CCCOc1c2cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc1Cc1cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc(c1OCCC)Cc1cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc(c1OCCC)Cc1cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc(c1OCCC)C2 | Serine/threonine-protein kinase AKT
1576964 C[C@@H](CCCc1cccc(O)c1)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C | Protein kinase C beta
1582155 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)/C(C)=C\c1ccc(C)cc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582157 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C(C)C)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582156 CCCC(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582158 CCC(CC)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582160 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582159 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582161 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582163 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1=CCCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582162 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CCCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582164 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582165 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1(C)CCCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582166 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C12C[C@@H]4C[C@H]1C[C@@H](C4)C2)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582167 CO/N=C(\C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C)c1ccccc1 | Protein kinase C delta
1582168 CO/N=C(/C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C)c1ccccc1 | Protein kinase C delta
1582169 CCCCCCCCCC(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582170 CCCCCCCCCCCCCCCC(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582173 C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H]([C@H](F)C(CO)=C[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582178 C/C=C/C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582179 CC#CC(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582180 CC(C)=CC(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582181 C=C(C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582182 C=C(CC)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582184 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C(C)=C(C)C)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582185 C/C=C(/C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C)c1ccccc1 | Protein kinase C delta
1613111 CNc1cccc(F)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613112 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1c(C)cccc1NCc1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613113 COc1cccc(NCc2ccccc2)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613178 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1C)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613179 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1C(C)C)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613181 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1OC(C)C)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613185 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1N)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613187 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1NCc1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613189 CCCCCCCCCCCCCCCCNc1ccccc1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613193 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1c(C)cccc1Cl)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613195 COc1cccc(N)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613196 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1c(N)cccc1Cl)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613197 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1c(N)cccc1F)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613199 CNc1cccc(C)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1613200 CNc1cccc(Cl)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1675092 c1ccc(SC23CCCCN(CCC2)[C@]32CO2)cc1 | Serine/threonine-protein kinase PLK1
1704090 C=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2C2C(O)(O3)C3(O)OC4(C(=O)OC5C(O)COC54O)C12CC3=O | Protein kinase C (PKC)
1748315 O=C1[C@@H]2C[C@@H]3O[C@]2(C(O)C3O)[C@@H](P(=O)(O)O)N1Cc1ccccc1 | Tyrosine-protein kinase BTK
1748314 O=C1[C@@H]2C[C@H]3CC[C@@]2(O3)[C@@H](P(=O)(O)O)N1Cc1ccccc1 | Tyrosine-protein kinase BTK
1748316 O=C1[C@@H]2C[C@@H]3O[C@]2(C(O)C3OP(=O)(O)O)[C@@H](P(=O)(O)O)N1Cc1ccccc1 | Tyrosine-protein kinase BTK
