7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
52976 CCSCc1ccc2c(c1)c1c3c(c4c5ccccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52975 CCSCc1ccc2c(c1)c1c3c(c4c5ccccc5n5c4c1n2[C@@]1(C)O[C@@H]5C[C@]1(O)C(=O)OC)C(=O)NC3 | Mitogen-activated protein kinase kinase kinase 9
55061 CC1=C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1 | Tyrosine-protein kinase BLK
55095 CN1C[C@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@H]21 | Tyrosine-protein kinase LCK
55962 COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Cyclin-dependent kinase 4/cyclin D1
55998 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1 | Cyclin-dependent kinase 2
56915 O=C1NC(O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1 | Protein kinase C (PKC)
56914 O=C1NC(=S)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1 | Protein kinase C (PKC)
56921 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1O[C@H]3C[C@@]1(O)C(=O)O | Protein kinase C (PKC)
56924 CNC(=O)[C@@H]1C[C@@H]2O[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
56958 CN(C)C[C@@H]1C[C@@H]2O[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
56962 C=C1C[C@@H]2O[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
57016 NN1C(=O)c2c(c3c4ccccc4n4c3c3c2c2ccccc2n3[C@@H]2CC[C@H]4O2)C1=O | Protein kinase C (PKC)
57017 CN1C(=O)c2c(c3c4ccccc4n4c3c3c2c2ccccc2n3[C@@H]2CC[C@H]4O2)C1=O | Protein kinase C (PKC)
57035 O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1 | Protein kinase C (PKC)
57036 NC1=NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1CC[C@H]3O1 | Protein kinase C (PKC)
57513 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1O[C@H]3C[C@@H]1CO | Protein kinase C (PKC)
57543 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1O[C@H]3C[C@H]1CO | Protein kinase C (PKC)
57544 S=C1NC(=S)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1 | Protein kinase C (PKC)
57573 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1O[C@H]3C[C@H]1C(=O)O | Protein kinase C (PKC)
70462 C=C(C)[C@@]12OC3(c4ccccc4)O[C@@H]1[C@@H]1C4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(=O)/C=C/c1ccccc1 | Protein kinase C delta
70662 CC1=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
93375 Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)C(C2)N(CC2CC2)CCC314 | Serine/threonine-protein kinase mTOR
95092 O=C(O[C@@H]1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC21)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
95093 O=C1OCC2O[C@@H](O)C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC3C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O | Protein kinase C (PKC)
96627 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1 | Cyclin-dependent kinase 4/cyclin D1
99427 O=C(Nc1cc(C23CC4CC(CC(C4)C2)C3)no1)Nc1cccc(Cl)c1Cl | MAP kinase p38 alpha
100386 Nc1ncnc2c1ncn2C12CC3CC(CC(C3)C1)C2 | Phosphatidylinositol 4-kinase, PI4K
112237 CN1C2CCC1C(NC(=O)c1ccc(O)cc1)C(OC(=O)c1cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c1)C2 | Protein kinase C alpha
112238 O=C(NC1CN2CCC(CC2)C1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1 | Protein kinase C alpha
112359 O=C(NC1C2CC(C3CCCC32)C1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1 | Protein kinase C alpha
112360 CC1(C)C2CCC1(C)C(OC(=O)c1cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c1)C2NC(=O)c1ccc(O)cc1 | Protein kinase C alpha
112525 CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN | Pyruvate dehydrogenase kinase
112536 C[C@]12CC[C@@H]3[C@H]4CC/C(=N\NC(N)=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
112556 CO/N=C1/C=C2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)CC[C@@H]34)[C@H]2CC1 | Pyruvate dehydrogenase kinase
112572 C[C@]12CC[C@@H]3[C@H]4CC/C(=N\O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
