7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
2012611 O=C(NCc1cn(-c2ccccc2)c2cc(Cl)ccc2c1=O)c1ccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)cc1 | c-Jun N-terminal kinase 1
2013568 CC(NC1=NC=NC2C(C(N)=O)=CCC=C12)c1cccc(NC(=O)c2ccc(N3CCOCC3)cc2)c1 | Serine/threonine-protein kinase Aurora-A
2014819 OCCn1cc(-c2cc(OCCC34CC5CC(CC(C5)C3)C4)cc3c2-c2ccccc2C3(O)C(F)(F)F)cn1 | Pyruvate dehydrogenase kinase isoform 2
2014818 NC(=O)Cn1cc(-c2cc(OCCC34CC5CC(CC(C5)C3)C4)cc3c2-c2ccccc2C3(O)C(F)(F)F)cn1 | Pyruvate dehydrogenase kinase isoform 2
2014831 OC1(C(F)(F)F)c2ccccc2-c2c(-c3cnn(C45CC6CC(CC(C6)C4)C5)c3)cccc21 | Pyruvate dehydrogenase kinase isoform 2
2014843 Cn1cc(-c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc3c2-c2ccccc2C3(O)C(F)(F)F)cn1 | Pyruvate dehydrogenase kinase isoform 2
2014844 NC(=O)Cn1cc(-c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc3c2-c2ccccc2C3(O)C(F)(F)F)cn1 | Pyruvate dehydrogenase kinase isoform 2
2014845 OCCn1cc(-c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc3c2-c2ccccc2C3(O)C(F)(F)F)cn1 | Pyruvate dehydrogenase kinase isoform 2
2014850 OC12CC3CC(C1)CC(Cn1cc(-c4cccc5c4-c4ccccc4C5(O)C(F)(F)F)cn1)(C3)C2 | Pyruvate dehydrogenase kinase isoform 2
2016388 CN[C@@H]1CC2OC([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Mitogen-activated protein kinase kinase kinase 5
2016755 O=C(c1nn(C2CN3CCC2CC3)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1 | PI3-kinase class I
2018089 Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br | Serine/threonine-protein kinase PIM1
2018088 Brc1c(Br)c(Br)c2[nH]c(N3CCN4CCC3CC4)nc2c1Br | Serine/threonine-protein kinase PIM1
2018372 CC(C)N1CCC(C(=O)Nc2cccc(CNC3=NC=NC4C(C(N)=O)=CCC=C34)c2)CC1 | Serine/threonine-protein kinase Aurora-B
2018443 COc1ccc(C(=O)Nc2cccc(C(C)NC3=NC=NC4C(C(N)=O)=CC(Cl)C=C34)c2)cc1F | Serine/threonine-protein kinase Aurora-A
2022773 Cc1ccncc1-c1ccc2cc(NC(=O)C3C4COCC43)ncc2c1 | Tyrosine-protein kinase ABL
2023131 Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2c(N)nc(N3CCN4CCCC4C3)nc12 | Serine/threonine-protein kinase B-raf
2023133 Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2c(N)nc(N3C[C@H]4C[C@@H]3CN4C)nc12 | Serine/threonine-protein kinase B-raf
2023140 Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2c(N)nc(N3CCN4CCCCC4C3)nc12 | Serine/threonine-protein kinase B-raf
2024758 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5CNC[C@H](C4)C5O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024759 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5CNC[C@H](C4)C5O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024760 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC4CN5)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024761 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024764 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC4C5O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024763 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)C5(C)O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024766 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CNC(C5)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024765 CC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024767 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5CN[C@@H](C5)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024769 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC(C4)N(CC(F)(F)F)C5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024768 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@H]5CN[C@H](C5)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024770 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC(C4)N(C)C5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024771 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC5(N)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024773 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@H]5C[C@@]5(N)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024774 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC5(N(C)C)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024775 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024776 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5CC4CN5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024778 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCN5CCC[C@@H]5C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024779 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C5CCC4CNC5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024777 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCN5CCCC5C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024780 CNC(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024782 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCC[C@@H]5CCN[C@@H]5C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024781 CNC(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5C[C@H]4CN5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024783 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC4C5O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024784 CC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024785 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5CCO)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024786 CC(C)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024787 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5C[C@H]4C[C@@H]5O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024789 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CNCC5C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024790 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)C5O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024788 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5C[C@H]4C[C@H]5O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024791 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)C5N(C)C)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024792 CC(CO)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024794 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1[C@H]1CC[C@H](C(C)(C)C)CC1 | Cyclin-dependent kinase 1
2024795 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)nn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024796 CN1CC2(C)CN(C(=O)c3ccc(Nc4ncc5cc(C(=O)N(C)C)n(C6CCCC6)c5n4)nc3)CC(C)(C1)C2O | Cyclin-dependent kinase 1
2024793 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1[C@@H]1C[C@H]2CC[C@@H]1C2 | Cyclin-dependent kinase 1
2024797 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4[C@H]5CNC[C@@H]4COC5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024799 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@H]5[C@H](N)[C@H]5C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024800 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)C45C[C@H]6C[C@H](O)C[C@@H](C4)N65)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024801 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)C45C[C@H]6C[C@@H](O)C[C@@H](C4)N65)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024802 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5C)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024803 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CN(Cc6ccccc6)CC(C4)O5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024804 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CNCC(C4)O5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024805 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCN5CCC4CC5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024806 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5C[C@@H]4CN5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024807 Cc1nc(Nc2ncc3cc(C(=O)N(C)C)n(C4CCCC4)c3n2)ccc1C(=O)N1CC2CCC(C1)N2 | Cyclin-dependent kinase 1
2024808 Cc1cc(Nc2ncc3cc(C(=O)N(C)C)n(C4CCCC4)c3n2)ncc1C(O)N1CC2CCC(C1)N2 | Cyclin-dependent kinase 1
2024809 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024810 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1-c1ccc(C(C)(C)C)cc1 | Cyclin-dependent kinase 1
2024811 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1-c1cccc(C(C)(C)C)c1 | Cyclin-dependent kinase 1
2024812 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCC1 | Cyclin-dependent kinase 1
2024813 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCN(C2CC2)CC1 | Cyclin-dependent kinase 1
2024814 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCN(C(C)(C)C)CC1 | Cyclin-dependent kinase 1
2024815 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C(C)(C)C | Cyclin-dependent kinase 1
2024816 CSCC[C@@H](N)C(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024818 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5C(=O)C4CCCN4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024817 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5C(=O)CN)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024820 CCOC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024819 CC(C)[C@@H](N)C(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024821 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCCOC1 | Cyclin-dependent kinase 1
2024822 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024823 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC4CN5)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024824 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1-c1ccc(C(C)(C)C#N)cc1 | Cyclin-dependent kinase 1
2024825 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCC5CCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024826 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5COCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024829 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCC5COCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024827 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC[C@@H]5CC[C@H](C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024828 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)O5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024830 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1C[C@H]2CC[C@@H]1C2 | Cyclin-dependent kinase 1
2024831 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1[C@H]1C[C@@H]2CC[C@H]1C2 | Cyclin-dependent kinase 1
2024833 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(CC4=O)N5)nn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024832 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CC5(N)C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024834 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(N5)C4=O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024835 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CNC[C@H]5C4=O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024836 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CNC[C@@H]5C4=O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024838 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CNC[C@@H]5C4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024837 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CNC[C@H]5C4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024839 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CNCC5CC4=O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024840 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CNC[C@H]5CC4=O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024841 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CNC[C@@H]5CC4=O)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024844 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CNC[C@@H]5CC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024842 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CNCC5CC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024843 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CNC[C@H]5CC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024845 CN1C[C@H]2CN(c3ccc(Nc4ncc5cc(C(=O)N(C)C)n(C6CCCCCC6)c5n4)nc3)C(=O)C[C@H]2C1 | Cyclin-dependent kinase 1
2024846 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC6CCC(C5)N6)OC4=O)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024847 CN1C[C@H]2CN(c3ccc(Nc4ncc5cc(C(=O)N(C)C)n(C6CCCC6)c5n4)nc3)C(=O)[C@H]2C1 | Cyclin-dependent kinase 1
2024849 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C(=O)CN5CCC4CC5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024851 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCCCC5C4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024848 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C(=O)CN5CCC4CC5)cn3)nc2n1C1CCCCCC1 | Cyclin-dependent kinase 1
2024850 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCCC5C4=O)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024852 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCCCC5C4=O)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024853 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC6CCC(C5)N6)OC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024854 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC6CCC(C5)N6C)OC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024863 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CC4CN5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024864 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024869 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCCC5C4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024868 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCCC5C4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024870 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC4=O)CC4CCC(C5)N4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024872 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC4=O)CC4CCC(C5)N4)cn3)nc2n1C1CCCOC1 | Cyclin-dependent kinase 1
2024874 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(CC4=O)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024875 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024876 CNC(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5C)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024877 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(C4)N5)nn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024878 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(CC4=O)N5)cn3)nc2n1-c1ccc(C(C)(C)C#N)cc1 | Cyclin-dependent kinase 1
2024879 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(CC4=O)N5)cn3)nc2n1-c1ccccc1 | Cyclin-dependent kinase 1
2024880 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CC[C@H](CC4=O)N5)cn3)nc2n1-c1ccccc1 | Cyclin-dependent kinase 1
2024881 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5)cn3)nc2n1-c1ccccc1 | Cyclin-dependent kinase 1
2024882 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(CC4=O)N5)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024883 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CC[C@H](CC4=O)N5)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024885 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5CCC(CC4=O)N5)cn3)nc2n1C1CCC1 | Cyclin-dependent kinase 1
2024884 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024886 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CC[C@H](CC4=O)N5)cn3)nc2n1C1CCC1 | Cyclin-dependent kinase 1
2024887 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5)cn3)nc2n1C1CCC1 | Cyclin-dependent kinase 1
2024888 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CC[C@H](CC4=O)N5S(C)(=O)=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024889 CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1CC(=O)N(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024890 CC(=O)N1[C@H]2CC[C@@H]1CC(=O)N(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024891 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5C)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024892 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@@H]5CC[C@H](CC4=O)N5C)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024893 CC(C)N1[C@H]2CC[C@@H]1CC(=O)N(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2 | Cyclin-dependent kinase 1
2024894 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4C[C@H]5CC[C@@H](CC4=O)N5CC(F)(F)F)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024895 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5COCC(CC4=O)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024896 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCC[C@H]5C4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024897 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN5CCC[C@@H]5C4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024898 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5CC[C@H](C4)N5C)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024899 CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4C[C@@H]5CC[C@H](C4)N5)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 4
2025599 CC(C)(O)C#CC1CCC2OCC(C)(O)c3sc(C(N)=O)nc3C2C1 | Mitogen-activated protein kinase kinase kinase 14
2025608 CN1C2CCC1CC(O)(C#Cc1ccc3c(c1)-c1nc(C(N)=O)cn1CCO3)C2 | Mitogen-activated protein kinase kinase kinase 14
2025609 NC(=O)c1cn2c(n1)-c1cc(C#CC3(O)CC4CCC(C3)N4)ccc1OCC2 | Mitogen-activated protein kinase kinase kinase 14
2025615 NC(=O)c1cn2c(n1)-c1cc(C#CC3(O)CCCC3)ccc1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2025656 CC(C)(O)C#Cc1cc2c(cc1F)OCCn1c-2nc(C(N)=O)c1C(=O)NC1CN2CCC1CC2 | Mitogen-activated protein kinase kinase kinase 14
2025701 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(=O)O)nc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025713 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#C[C@@](C)(O)c3cc(C)on3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025715 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(O)CO)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025714 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#C[C@@](C)(O)c3noc(C)n3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025724 CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2)CO | Mitogen-activated protein kinase kinase kinase 14
2025726 CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2)CF | Mitogen-activated protein kinase kinase kinase 14
2025728 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CN1CCOCC1 | Mitogen-activated protein kinase kinase kinase 14
